identifier,title,state,current_labels,matching_area_labels,lane,action,reason,status,error,url
MARPA-249,[claude-code] Add scripts/symphony-run.sh — one-command Symphony launcher,Backlog,"Feature, claude-code, infra, symphony",,,skip,already has lane label: claude-code,skipped,,https://linear.app/00-command-center/issue/MARPA-249/claude-code-add-scriptssymphony-runsh-one-command-symphony-launcher
MARPA-248,[human-only] Connect GitHub repo to Linear via OAuth integration,Backlog,"human-only, infra, symphony",,,skip,already has lane label: human-only,skipped,,https://linear.app/00-command-center/issue/MARPA-248/human-only-connect-github-repo-to-linear-via-oauth-integration
MARPA-247,[codex] Add scripts/symphony-label-issues.py — bulk lane-label MARPA issues via Linear API,Backlog,"Feature, codex, infra, symphony",,,skip,already has lane label: codex,skipped,,https://linear.app/00-command-center/issue/MARPA-247/codex-add-scriptssymphony-label-issuespy-bulk-lane-label-marpa-issues
MARPA-246,[codex] Apply agent-lane labels to all MARPA Linear issues,Backlog,"codex, infra, meta-harness, symphony",,,skip,already has lane label: codex,skipped,,https://linear.app/00-command-center/issue/MARPA-246/codex-apply-agent-lane-labels-to-all-marpa-linear-issues
MARPA-245,[human-only] Set LINEAR_API_KEY and SYMPHONY_WORKSPACE_ROOT as GitHub secrets and local env,Backlog,"human-only, infra, symphony",,,skip,already has lane label: human-only,skipped,,https://linear.app/00-command-center/issue/MARPA-245/human-only-set-linear-api-key-and-symphony-workspace-root-as-github
MARPA-244,[human-only] Install Symphony Elixir orchestrator via mise,Backlog,"human-only, infra, symphony",,,skip,already has lane label: human-only,skipped,,https://linear.app/00-command-center/issue/MARPA-244/human-only-install-symphony-elixir-orchestrator-via-mise
MARPA-243,[warp-pi] Update Codex CLI from 0.128.0 to 0.130.0,Backlog,"infra, symphony, warp-pi",,,skip,already has lane label: warp-pi,skipped,,https://linear.app/00-command-center/issue/MARPA-243/warp-pi-update-codex-cli-from-01280-to-01300
MARPA-242,[warp-pi] Add .codex/config.toml — Codex CLI project configuration,Backlog,"Feature, infra, symphony, warp-pi",,,skip,already has lane label: warp-pi,skipped,,https://linear.app/00-command-center/issue/MARPA-242/warp-pi-add-codexconfigtoml-codex-cli-project-configuration
MARPA-241,[claude-code] Add WORKFLOW.md Symphony orchestration config,Backlog,"Feature, claude-code, infra, symphony",,,skip,already has lane label: claude-code,skipped,,https://linear.app/00-command-center/issue/MARPA-241/claude-code-add-workflowmd-symphony-orchestration-config
MARPA-240,[claude-code] Add AGENTS.md to repo root for Codex CLI context,Backlog,"Feature, claude-code, infra, symphony",,,skip,already has lane label: claude-code,skipped,,https://linear.app/00-command-center/issue/MARPA-240/claude-code-add-agentsmd-to-repo-root-for-codex-cli-context
MARPA-239,Setup: Local LLM infrastructure — Ollama on Apple Silicon for LATTICE agent routing,Backlog,"agent-ready, agent-runtime",agent-runtime,claude-code,label,matched area labels: agent-runtime,dry-run,,https://linear.app/00-command-center/issue/MARPA-239/setup-local-llm-infrastructure-ollama-on-apple-silicon-for-lattice
